**********************Check Process Result(CheckImageByService)**********************
Index	Service	File Path	Total Screenshots	Adapted Screenshots	Image Status	Image File Name
193	cosmos-db	articles/cosmos-db/create-website.md	10	0	Pending	
194	cosmos-db	articles/cosmos-db/data-explorer.md	1	0	Pending	
195	cosmos-db	articles/cosmos-db/database-encryption-at-rest.md	1	0	Pending	
196	cosmos-db	articles/cosmos-db/database-security.md	3	0	Pending	
197	cosmos-db	articles/cosmos-db/distribute-data-globally.md	8	0	Pending	
198	cosmos-db	articles/cosmos-db/faq.md	2	0	Pending	
199	cosmos-db	articles/cosmos-db/firewall-support.md	7	0	Pending	
200	cosmos-db	articles/cosmos-db/graph-introduction.md	3	0	Pending	
201	cosmos-db	articles/cosmos-db/gremlin-support.md	1	0	Pending	
202	cosmos-db	articles/cosmos-db/import-data.md	32	0	Pending	
203	cosmos-db	articles/cosmos-db/index.md	14	0	Pending	
204	cosmos-db	articles/cosmos-db/indexing-policies.md	1	0	Pending	
205	cosmos-db	articles/cosmos-db/introduction.md	8	0	Pending	
206	cosmos-db	articles/cosmos-db/lambda-architecture.md	7	0	Pending	
207	cosmos-db	articles/cosmos-db/local-emulator.md	4	0	Pending	
208	cosmos-db	articles/cosmos-db/local-emulator-export-ssl-certificates.md	10	0	Pending	
209	cosmos-db	articles/cosmos-db/logging.md	12	0	Pending	
210	cosmos-db	articles/cosmos-db/manage-account.md	7	0	Pending	
211	cosmos-db	articles/cosmos-db/mobile-apps-with-xamarin.md	8	0	Pending	
212	cosmos-db	articles/cosmos-db/mongodb-introduction.md	1	0	Pending	
213	cosmos-db	articles/cosmos-db/mongodb-migrate.md	1	0	Pending	
214	cosmos-db	articles/cosmos-db/mongodb-mongochef.md	11	0	Pending	
215	cosmos-db	articles/cosmos-db/mongodb-mongoose.md	2	0	Pending	
216	cosmos-db	articles/cosmos-db/mongodb-robomongo.md	4	0	Pending	
217	cosmos-db	articles/cosmos-db/mongodb-ttl.md	1	0	Pending	
218	cosmos-db	articles/cosmos-db/monitor-accounts.md	11	0	Pending	
219	cosmos-db	articles/cosmos-db/multi-master-workaround.md	1	0	Pending	
220	cosmos-db	articles/cosmos-db/multi-region-writers.md	5	0	Pending	
221	cosmos-db	articles/cosmos-db/odbc-driver.md	8	0	Pending	
222	cosmos-db	articles/cosmos-db/online-backup-and-restore.md	4	2	Reviewed	automatic-backup.png;global-distribution.png
223	cosmos-db	articles/cosmos-db/partition-data.md	1	0	Pending	
224	cosmos-db	articles/cosmos-db/performance-levels.md	4	0	Pending	
225	cosmos-db	articles/cosmos-db/performance-tips.md	2	0	Pending	
226	cosmos-db	articles/cosmos-db/performance-tips-java.md	2	0	Pending	
227	cosmos-db	articles/cosmos-db/powerbi-visualize.md	22	0	Pending	
228	cosmos-db	articles/cosmos-db/query-cheat-sheet.md	2	0	Pending	
229	cosmos-db	articles/cosmos-db/regional-failover.md	5	0	Pending	
230	cosmos-db	articles/cosmos-db/request-units.md	5	0	Pending	
231	cosmos-db	articles/cosmos-db/secure-access-to-data.md	3	0	Pending	
232	cosmos-db	articles/cosmos-db/serverless-computing-database.md	7	0	Pending	
233	cosmos-db	articles/cosmos-db/set-throughput.md	6	0	Pending	
234	cosmos-db	articles/cosmos-db/social-media-apps.md	5	0	Pending	
235	cosmos-db	articles/cosmos-db/spark-connector.md	9	0	Pending	
236	cosmos-db	articles/cosmos-db/sql-api-cpp-get-started.md	6	0	Pending	
237	cosmos-db	articles/cosmos-db/sql-api-dotnet-application.md	42	0	Pending	
238	cosmos-db	articles/cosmos-db/sql-api-dotnetcore-get-started.md	5	0	Pending	
239	cosmos-db	articles/cosmos-db/sql-api-get-started.md	6	0	Pending	
240	cosmos-db	articles/cosmos-db/sql-api-introduction.md	2	0	Pending	
241	cosmos-db	articles/cosmos-db/sql-api-java-application.md	5	0	Pending	
242	cosmos-db	articles/cosmos-db/sql-api-modeling-data.md	2	0	Pending	
243	cosmos-db	articles/cosmos-db/sql-api-nodejs-application.md	4	0	Pending	
244	cosmos-db	articles/cosmos-db/sql-api-nodejs-get-started.md	3	1	Reviewed	node-js-tutorial-keys.png
245	cosmos-db	articles/cosmos-db/sql-api-python-application.md	17	0	Pending	
246	cosmos-db	articles/cosmos-db/sql-api-resources.md	3	0	Pending	
247	cosmos-db	articles/cosmos-db/sql-api-sql-query.md	1	0	Pending	
248	cosmos-db	articles/cosmos-db/storage-explorer.md	31	0	Pending	
249	cosmos-db	articles/cosmos-db/storage-table-design-guide.md	29	0	Pending	
250	cosmos-db	articles/cosmos-db/table-import.md	2	0	Pending	
251	cosmos-db	articles/cosmos-db/table-storage-cloud-service-nodejs.md	3	0	Pending	
252	cosmos-db	articles/cosmos-db/time-to-live.md	1	0	Pending	
253	cosmos-db	articles/cosmos-db/tutorial-develop-cassandra-java.md	2	0	Pending	
254	cosmos-db	articles/cosmos-db/tutorial-develop-graph-dotnet.md	1	0	Pending	
255	cosmos-db	articles/cosmos-db/tutorial-develop-mongodb-nodejs-part2.md	4	0	Pending	
256	cosmos-db	articles/cosmos-db/tutorial-develop-mongodb-nodejs-part3.md	10	0	Pending	
257	cosmos-db	articles/cosmos-db/tutorial-develop-mongodb-nodejs-part4.md	3	0	Pending	
258	cosmos-db	articles/cosmos-db/tutorial-develop-mongodb-nodejs-part5.md	3	0	Pending	
259	cosmos-db	articles/cosmos-db/tutorial-develop-mongodb-nodejs-part6.md	9	0	Pending	
260	cosmos-db	articles/cosmos-db/tutorial-develop-sql-api-dotnet.md	4	0	Pending	
261	cosmos-db	articles/cosmos-db/tutorial-functions-http-trigger.md	18	0	Pending	
262	cosmos-db	articles/cosmos-db/unique-keys.md	1	0	Pending	
263	cosmos-db	articles/cosmos-db/use-cases.md	6	0	Pending	
264	cosmos-db	articles/cosmos-db/use-metrics.md	4	0	Pending	
265	cosmos-db	articles/cosmos-db/vnet-service-endpoint.md	8	0	Pending	
266	event-hubs	articles/event-hubs/event-hubs-about.md	1	0	Pending	
267	event-hubs	articles/event-hubs/event-hubs-archive-python.md	1	0	Pending	
268	event-hubs	articles/event-hubs/event-hubs-auto-inflate.md	2	0	Pending	
269	event-hubs	articles/event-hubs/event-hubs-c-ephcs-getstarted.md	2	0	Pending	
270	event-hubs	articles/event-hubs/event-hubs-capture-enable-through-portal.md	4	0	Pending	
271	event-hubs	articles/event-hubs/event-hubs-capture-overview.md	1	0	Pending	
272	event-hubs	articles/event-hubs/event-hubs-create.md	7	1	Reviewed	create-event-hub1.png
273	event-hubs	articles/event-hubs/event-hubs-create-kafka-enabled.md	2	0	Pending	
274	event-hubs	articles/event-hubs/event-hubs-csharp-ephcs-getstarted.md	4	0	Pending	
275	event-hubs	articles/event-hubs/event-hubs-diagnostic-logs.md	3	0	Pending	
276	event-hubs	articles/event-hubs/event-hubs-dotnet-framework-getstarted-receive-eph.md	6	1	Reviewed	create-storage2.png
277	event-hubs	articles/event-hubs/event-hubs-dotnet-framework-getstarted-send.md	2	0	Pending	
278	event-hubs	articles/event-hubs/event-hubs-dotnet-standard-getstarted-receive-eph.md	2	0	Pending	
279	event-hubs	articles/event-hubs/event-hubs-dotnet-standard-getstarted-send.md	1	0	Pending	
280	event-hubs	articles/event-hubs/event-hubs-features.md	5	0	Pending	
281	event-hubs	articles/event-hubs/event-hubs-geo-dr.md	3	0	Pending	
282	event-hubs	articles/event-hubs/event-hubs-get-started-receive-storm.md	1	0	Pending	
